species,bill_length_mm,bill_depth_mm,flipper_length_mm,gender,body_mass_g
Adelie,39.1,18.7,181,male,3750
Adelie,39.5,17.4,186,female,3800
Adelie,40.3,18,195,female,3250
Adelie,39.6,17.7,186,female,3500
Adelie,36.7,19.3,193,female,3450
Adelie,39.3,20.6,190,male,3650
Adelie,38.9,17.8,181,female,3625
Adelie,39.2,19.6,195,male,4675
Adelie,34.1,18.1,193,NA,3475
Adelie,42,20.2,190,NA,4250
Adelie,37.8,17.1,186,NA,3300
Adelie,37.8,17.3,180,NA,3700
Adelie,41.1,17.6,182,female,3200
Adelie,38.6,21.2,191,male,3800
Adelie,34.6,21.1,198,male,4400
Adelie,36.6,17.8,185,female,3700
Adelie,38.7,19,195,female,3450
Adelie,42.5,20.7,197,male,4500
Adelie,34.4,18.4,184,female,3325
Adelie,46,21.5,194,male,4200
Adelie,37.8,18.3,174,female,3400
Adelie,37.7,18.7,180,male,3600
Adelie,35.9,19.2,189,female,3800
Adelie,38.2,18.1,185,male,3950
Adelie,38.8,17.2,180,male,3800
Adelie,35.3,18.9,187,female,3800
Adelie,40.6,18.6,183,male,3550
Adelie,40.5,17.9,187,female,3200
Adelie,37.9,18.6,172,female,3150
Adelie,40.5,18.9,180,male,3950
Adelie,39.5,16.7,178,female,3250
Adelie,37.2,18.1,178,male,3900
Adelie,39.5,17.8,188,female,3300
Adelie,40.9,18.9,184,male,3900
Adelie,36.4,17,195,female,3325
Adelie,39.2,21.1,196,male,4150
Adelie,38.8,20,190,male,3950
Adelie,42.2,18.5,180,female,3550
Adelie,37.6,19.3,181,female,3300
Adelie,39.8,19.1,184,male,4650
Adelie,36.5,18,182,female,3150
Adelie,40.8,18.4,195,male,3900
Adelie,36,18.5,186,female,3100
Adelie,44.1,19.7,196,male,4400
Adelie,37,16.9,185,female,3000
Adelie,39.6,18.8,190,male,4600
Adelie,41.1,19,182,male,3425
Adelie,37.5,18.9,179,NA,2975
Adelie,36,17.9,190,female,3450
Adelie,42.3,21.2,191,male,4150
Gentoo,46.1,13.2,211,female,4500
Gentoo,50,16.3,230,male,5700
Gentoo,48.7,14.1,210,female,4450
Gentoo,50,15.2,218,male,5700
Gentoo,47.6,14.5,215,male,5400
Gentoo,46.5,13.5,210,female,4550
Gentoo,45.4,14.6,211,female,4800
Gentoo,46.7,15.3,219,male,5200
Gentoo,43.3,13.4,209,female,4400
Gentoo,46.8,15.4,215,male,5150
Gentoo,40.9,13.7,214,female,4650
Gentoo,49,16.1,216,male,5550
Gentoo,45.5,13.7,214,female,4650
Gentoo,48.4,14.6,213,male,5850
Gentoo,45.8,14.6,210,female,4200
Gentoo,49.3,15.7,217,male,5850
Gentoo,42,13.5,210,female,4150
Gentoo,49.2,15.2,221,male,6300
Gentoo,46.2,14.5,209,female,4800
Gentoo,48.7,15.1,222,male,5350
Gentoo,50.2,14.3,218,male,5700
Gentoo,45.1,14.5,215,female,5000
Gentoo,46.5,14.5,213,female,4400
Gentoo,46.3,15.8,215,male,5050
Gentoo,42.9,13.1,215,female,5000
Gentoo,46.1,15.1,215,male,5100
Gentoo,44.5,14.3,216,NA,4100
Gentoo,47.8,15,215,male,5650
Gentoo,48.2,14.3,210,female,4600
Gentoo,50,15.3,220,male,5550
Gentoo,47.3,15.3,222,male,5250
Gentoo,42.8,14.2,209,female,4700
Gentoo,45.1,14.5,207,female,5050
Gentoo,59.6,17,230,male,6050
Gentoo,49.1,14.8,220,female,5150
Gentoo,48.4,16.3,220,male,5400
Gentoo,42.6,13.7,213,female,4950
Gentoo,44.4,17.3,219,male,5250
Gentoo,44,13.6,208,female,4350
Gentoo,48.7,15.7,208,male,5350
Gentoo,42.7,13.7,208,female,3950
Gentoo,49.6,16,225,male,5700
Gentoo,45.3,13.7,210,female,4300
Gentoo,49.6,15,216,male,4750
Gentoo,50.5,15.9,222,male,5550
Gentoo,43.6,13.9,217,female,4900
Gentoo,45.5,13.9,210,female,4200
